Materia,Professore,Data esame,Materiale,Percentuale fatta,Mappa,Corso
Genetica delComportamento,Zappalà,13/12/22,,,,Psicologia
Metodologia del Lavoro Scientifico,Tarditi - Merlin,,,,,Psicologia
Pedagogia,,,,,,Psicologia
Psicologia Lavoro e organizzazioni,La Gioia,9/1/23,,,,Psicologia
Psicologia Coppia e Famiglia,De Prosperis,,,,,Psicologia
Psicologia Generale,Il Grande,,,,,Psicologia
Psicologia Sociale,,,,,,Psicologia
Psicologia dello Sviluppo,Pintonello,,,,,Psicologia
Psicologia dell'Educazione,Pintonello,,,,,Psicologia
Psicometria,De Gaudenzi,,,,,Psicologia
Sociologia,,,,,,Psicologia
Statistica,,,,,,Psicologia
Tecniche Psicoproiettive,Cristofanelli - De Gaudenzi,16/12/22,,,,Psicologia
Tecniche Strutturate,De Gaudenzi,,,,,Psicologia
Teologia dell'educazione,,,,,,Psicologia
Algoritmi e Strutture dati,,20/12/22,,,,Informatica
Basi di Dati,,15/12/22,,,,Informatica
Calcolabilità e Complessità,,26/01/23,,,,Informatica
CMRO,,23/01/23,,,,Informatica
Economia Orale,,12/12/22,,,,Informatica
Economia Scritto,,14/12/22,,,,Informatica
Fisica,,21/12/22,,,,Informatica
Linguaggi Formali e Traduttori Orale,,20/01/23,,,,Informatica
Linguaggi Formali e Traduttori Scritto,,27/01/23,,,,Informatica
Metodi formali dell'Informatica,,14/12/22,,,,Informatica
Programmazione II,,19/12/22,,,,Informatica
Reti I,,02/02/23,,,,Informatica
Sistemi intelligenti,,12/12/22,,,,Informatica
Sistemi Operativi,,24/01/23,,,,Informatica
Sviluppo delle Applicazioni Software,,15/12/22,,,,Informatica
Sviluppo delle Applicazioni Software Orale,,16/12/22,,,,Informatica
