Materia,Professore,Data esame,Materiale,Percentuale fatta,Mappa
Genetica delComportamento;Zappalà;13/12/22;;;
Metodologia del Lavoro Scientifico;Tarditi - Merlin;;;;
Pedagogia;;;;;
Psicologia Lavoro e organizzazioni;La Gioia;9/1/23;;;
Psicologia Coppia e Famiglia;De Prosperis;;;;
Psicologia Generale;Il Grande;;;;
Psicologia Sociale;;;;;
Psicologia dello Sviluppo;Pintonello;;;;
Psicologia dell'Educazione;Pintonello;;;;
Psicometria;De Gaudenzi;;;;
Sociologia;;;;;
Statistica;;;;;
Tecniche Psicoproiettive;Cristofanelli - De Gaudenzi;16/12/22;;;
Tecniche Strutturate;De Gaudenzi;;;;
Teologia dell'educazione;;;;;
